soc_code,occupation_title,aioe_title,description,aei_score,risk_band
25-1011,"Business Teachers, Postsecondary","Business Teachers, Postsecondary","Teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.9344316089978384,Red
25-1021,"Computer Science Teachers, Postsecondary","Computer Science Teachers, Postsecondary","Teach courses in computer science. May specialize in a field of computer science, such as the design and function of computers or operations and research analysis. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.8944727792358566,Red
25-1022,"Mathematical Science Teachers, Postsecondary","Mathematical Science Teachers, Postsecondary","Teach courses pertaining to mathematical concepts, statistics, and actuarial science and to the application of original and standardized mathematical techniques in solving specific problems and situations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.9360187575325098,Red
25-1031,"Architecture Teachers, Postsecondary","Architecture Teachers, Postsecondary","Teach courses in architecture and architectural design, such as architectural environmental design, interior architecture/design, and landscape architecture. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.8848136338082431,Red
25-1032,"Engineering Teachers, Postsecondary","Engineering Teachers, Postsecondary","Teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services. Includes teachers of subjects such as chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.921580190640321,Red
25-1041,"Agricultural Sciences Teachers, Postsecondary","Agricultural Sciences Teachers, Postsecondary","Teach courses in the agricultural sciences. Includes teachers of agronomy, dairy sciences, fisheries management, horticultural sciences, poultry sciences, range management, and agricultural soil conservation. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.637194167146535,Yellow
25-1042,"Biological Science Teachers, Postsecondary","Biological Science Teachers, Postsecondary",Teach courses in biological sciences. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,0.8735288719376713,Red
25-1043,"Forestry and Conservation Science Teachers, Postsecondary","Forestry and Conservation Science Teachers, Postsecondary",Teach courses in forestry and conservation science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,0.7416764933836347,Red
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Teach courses in the physical sciences, except chemistry and physics. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research.",0.9016190601179468,Red
25-1052,"Chemistry Teachers, Postsecondary","Chemistry Teachers, Postsecondary","Teach courses pertaining to the chemical and physical properties and compositional changes of substances. Work may include providing instruction in the methods of qualitative and quantitative chemical analysis. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research.",0.915084210921261,Red
25-1053,"Environmental Science Teachers, Postsecondary","Environmental Science Teachers, Postsecondary",Teach courses in environmental science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,0.9327594421892043,Red
25-1054,"Physics Teachers, Postsecondary","Physics Teachers, Postsecondary",Teach courses pertaining to the laws of matter and energy. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,0.7997408216497299,Red
25-1061,"Anthropology and Archeology Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",Teach courses in anthropology or archeology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,0.8831566999914839,Red
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Teach courses pertaining to the culture and development of an area, an ethnic group, or any other group, such as Latin American studies, women's studies, or urban affairs. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.9410696297126094,Red
25-1063,"Economics Teachers, Postsecondary","Economics Teachers, Postsecondary",Teach courses in economics. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,0.9311021448100966,Red
25-1064,"Geography Teachers, Postsecondary","Geography Teachers, Postsecondary",Teach courses in geography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,0.9351640799926043,Red
25-1065,"Political Science Teachers, Postsecondary","Political Science Teachers, Postsecondary","Teach courses in political science, international affairs, and international relations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.9504237379486435,Red
25-1066,"Psychology Teachers, Postsecondary","Psychology Teachers, Postsecondary","Teach courses in psychology, such as child, clinical, and developmental psychology, and psychological counseling. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.9289361841307795,Red
25-1067,"Sociology Teachers, Postsecondary","Sociology Teachers, Postsecondary",Teach courses in sociology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,0.9313458870637726,Red
25-1071,"Health Specialties Teachers, Postsecondary","Health Specialties Teachers, Postsecondary","Teach courses in health specialties, in fields such as dentistry, laboratory technology, medicine, pharmacy, public health, therapy, and veterinary medicine.",0.7019212022007834,Red
25-1072,"Nursing Instructors and Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",Demonstrate and teach patient care in classroom and clinical units to nursing students. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,0.5915909994252665,Yellow
25-1081,"Education Teachers, Postsecondary","Education Teachers, Postsecondary","Teach courses pertaining to education, such as counseling, curriculum, guidance, instruction, teacher education, and teaching English as a second language. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.8604168941745219,Red
25-1082,"Library Science Teachers, Postsecondary","Library Science Teachers, Postsecondary",Teach courses in library science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,0.9260939470957328,Red
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary","Criminal Justice and Law Enforcement Teachers, Postsecondary","Teach courses in criminal justice, corrections, and law enforcement administration. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.9501745267384912,Red
25-1112,"Law Teachers, Postsecondary","Law Teachers, Postsecondary",Teach courses in law. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,0.9331688365964427,Red
25-1113,"Social Work Teachers, Postsecondary","Social Work Teachers, Postsecondary",Teach courses in social work. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,0.9283631868377582,Red
25-1121,"Art, Drama, and Music Teachers, Postsecondary","Art, Drama, and Music Teachers, Postsecondary","Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.6799543246669522,Red
25-1122,"Communications Teachers, Postsecondary","Communications Teachers, Postsecondary","Teach courses in communications, such as organizational communications, public relations, radio/television broadcasting, and journalism. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.936718967517779,Red
25-1123,"English Language and Literature Teachers, Postsecondary","English Language and Literature Teachers, Postsecondary","Teach courses in English language and literature, including linguistics and comparative literature. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.9737550422336994,Red
25-1124,"Foreign Language and Literature Teachers, Postsecondary","Foreign Language and Literature Teachers, Postsecondary",Teach languages and literature courses in languages other than English. Includes teachers of American Sign Language (ASL). Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,0.9490984540956509,Red
25-1125,"History Teachers, Postsecondary","History Teachers, Postsecondary",Teach courses in human history and historiography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,0.9731391390754773,Red
25-1126,"Philosophy and Religion Teachers, Postsecondary","Philosophy and Religion Teachers, Postsecondary","Teach courses in philosophy, religion, and theology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.9453289163579821,Red
25-1192,"Family and Consumer Sciences Teachers, Postsecondary","Home Economics Teachers, Postsecondary","Teach courses in childcare, family relations, finance, nutrition, and related subjects pertaining to home management. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.8847843909014967,Red
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary","Recreation and Fitness Studies Teachers, Postsecondary","Teach courses pertaining to recreation, leisure, and fitness studies, including exercise physiology and facilities management. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.8103428446140344,Red
25-1194,"Career/Technical Education Teachers, Postsecondary","Vocational Education Teachers, Postsecondary","Teach vocational courses intended to provide occupational training below the baccalaureate level in subjects such as construction, mechanics/repair, manufacturing, transportation, or cosmetology, primarily to students who have graduated from or left high school. Teaching takes place in public or private schools whose primary business is academic or vocational education.",0.49267686200703104,Yellow
25-2011,"Preschool Teachers, Except Special Education","Preschool Teachers, Except Special Education","Instruct preschool-aged students, following curricula or lesson plans, in activities designed to promote social, physical, and intellectual growth.",0.5049681739828565,Yellow
25-2012,"Kindergarten Teachers, Except Special Education","Kindergarten Teachers, Except Special Education",Teach academic and social skills to kindergarten students.,0.567853986217562,Yellow
25-2021,"Elementary School Teachers, Except Special Education","Elementary School Teachers, Except Special Education",Teach academic and social skills to students at the elementary school level.,0.6931549571638176,Red
25-2022,"Middle School Teachers, Except Special and Career/Technical Education","Middle School Teachers, Except Special and Vocational Education","Teach one or more subjects to students at the middle, intermediate, or junior high school level.",0.8762977320515383,Red
25-2023,"Career/Technical Education Teachers, Middle School","Vocational Education Teachers, Middle School","Teach occupational, vocational, career, or technical subjects to students at the middle, intermediate, or junior high school level.",0.5983889272755295,Yellow
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education","Secondary School Teachers, Except Special and Vocational Education",Teach one or more subjects to students at the secondary school level.,0.8631859281363867,Red
25-2032,"Career/Technical Education Teachers, Secondary School","Vocational Education Teachers, Secondary School","Teach occupational, vocational, career, or technical subjects to students at the secondary school level.",0.5565972194456481,Yellow
25-2051,"Special Education Teachers, Preschool","Special Education Teachers, Preschool","Teach academic, social, and life skills to preschool-aged students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities.",0.5595101383907951,Yellow
25-2059,"Special Education Teachers, All Other","Special Education Teachers, All Other",All special education teachers not listed separately.,0.3535888546413789,Yellow
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Adult Literacy, Remedial Education, and GED Teachers and Instructors","Teach or instruct out-of-school youths and adults in basic education, literacy, or English as a Second Language classes, or in classes for earning a high school equivalency credential.",0.9354068647074452,Red
25-3021,Self-Enrichment Teachers,Self-Enrichment Education Teachers,"Teach or instruct individuals or groups for the primary purpose of self-enrichment or recreation, rather than for an occupational objective, educational attainment, competition, or fitness.",0.6008538480770103,Yellow
25-4011,Archivists,Archivists,"Appraise, edit, and direct safekeeping of permanent records and historically valuable documents. Participate in research activities based on archival materials.",0.6325703380019039,Yellow
25-4012,Curators,Curators,"Administer collections, such as artwork, collectibles, historic items, or scientific specimens of museums or other institutions. May conduct instructional, research, or public service activities of institution.",0.6585215751863183,Yellow
25-4013,Museum Technicians and Conservators,Museum Technicians and Conservators,"Restore, maintain, or prepare objects in museum collections for storage, research, or exhibit. May work with specimens such as fossils, skeletal parts, or botanicals; or artifacts, textiles, or art. May identify and record objects or install and arrange them in exhibits. Includes book or document conservators.",0.45646409634273993,Yellow
25-4031,Library Technicians,Library Technicians,"Assist librarians by helping readers in the use of library catalogs, databases, and indexes to locate books and other materials; and by answering questions that require only brief consultation of standard reference. Compile records; sort and shelve books or other media; remove or repair damaged books or other media; register patrons; and check materials in and out of the circulation process. Replace materials in shelving area (stacks) or files. Includes bookmobile drivers who assist with providing services in mobile libraries.",0.4737803065447541,Yellow
25-9021,Farm and Home Management Educators,Farm and Home Management Advisors,"Instruct and advise individuals and families engaged in agriculture, agricultural-related processes, or home management activities. Demonstrate procedures and apply research findings to advance agricultural and home management activities. May develop educational outreach programs. May instruct on either agricultural issues such as agricultural processes and techniques, pest management, and food safety, or on home management issues such as budgeting, nutrition, and child development.",0.6509042156312153,Yellow
25-9031,Instructional Coordinators,Instructional Coordinators,"Develop instructional material, coordinate educational content, and incorporate current technology into instruction in order to provide guidelines to educators and instructors for developing curricula and conducting courses. May train and coach teachers. Includes educational consultants and specialists, and instructional material directors.",0.9024956563386615,Red
27-1011,Art Directors,Art Directors,"Formulate design concepts and presentation approaches for visual productions and media, such as print, broadcasting, video, and film. Direct workers engaged in artwork or layout design.",0.7997250806995447,Red
27-1012,Craft Artists,Craft Artists,"Create or reproduce handmade objects for sale and exhibition using a variety of techniques, such as welding, weaving, pottery, and needlecraft.",0.31420060818207307,Green
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators","Fine Artists, Including Painters, Sculptors, and Illustrators",Create original artwork using any of a wide variety of media and techniques.,0.35001742777692224,Yellow
27-1014,Special Effects Artists and Animators,Multi-Media Artists and Animators,"Create special effects or animations using film, video, computers, or other electronic tools and media for use in products, such as computer games, movies, music videos, and commercials.",0.7125887628748622,Red
27-1021,Commercial and Industrial Designers,Commercial and Industrial Designers,"Design and develop manufactured products, such as cars, home appliances, and children's toys. Combine artistic talent with research on product use, marketing, and materials to create the most functional and appealing product design.",0.7448048362185579,Red
27-1022,Fashion Designers,Fashion Designers,Design clothing and accessories. Create original designs or adapt fashion trends.,0.6204799225086944,Yellow
27-1023,Floral Designers,Floral Designers,"Design, cut, and arrange live, dried, or artificial flowers and foliage.",0.40088038066360066,Yellow
27-1024,Graphic Designers,Graphic Designers,"Design or create graphics to meet specific commercial or promotional needs, such as packaging, displays, or logos. May use a variety of mediums to achieve artistic or decorative effects.",0.7455401974382561,Red
27-1025,Interior Designers,Interior Designers,"Plan, design, and furnish the internal space of rooms or buildings. Design interior environments or create physical layouts that are practical, aesthetic, and conducive to the intended purposes. May specialize in a particular field, style, or phase of interior design.",0.8610876225871481,Red
27-1026,Merchandise Displayers and Window Trimmers,Merchandise Displayers and Window Trimmers,"Plan and erect commercial displays, such as those in windows and interiors of retail stores and at trade exhibitions.",0.2805488269698455,Green
27-1027,Set and Exhibit Designers,Set and Exhibit Designers,"Design special exhibits and sets for film, video, television, and theater productions. May study scripts, confer with directors, and conduct research to determine appropriate architectural styles.",0.5938124176236581,Yellow
27-2011,Actors,Actors,"Play parts in stage, television, radio, video, or film productions, or other settings for entertainment, information, or instruction. Interpret serious or comic role by speech, gesture, and body movement to entertain or inform audience. May dance and sing.",0.5179746081069697,Yellow
27-2012,Producers and Directors,Producers and Directors,"Produce or direct stage, television, radio, video, or film productions for entertainment, information, or instruction. Responsible for creative decisions, such as interpretation of script, choice of actors or guests, set design, sound, special effects, and choreography.",0.7438023382559679,Red
27-2021,Athletes and Sports Competitors,Athletes and Sports Competitors,Compete in athletic events.,0.1375339918298396,Green
27-2022,Coaches and Scouts,Coaches and Scouts,Instruct or coach groups or individuals in the fundamentals of sports for the primary purpose of competition. Demonstrate techniques and methods of participation. May evaluate athletes' strengths and weaknesses as possible recruits or to improve the athletes' technique to prepare them for competition. Those required to hold teaching certifications should be reported in the appropriate teaching category.,0.48991784751190137,Yellow
27-2023,"Umpires, Referees, and Other Sports Officials","Umpires, Referees, and Other Sports Officials","Officiate at competitive athletic or sporting events. Detect infractions of rules and decide penalties according to established regulations. Includes all sporting officials, referees, and competition judges.",0.4583295211377894,Yellow
27-2031,Dancers,Dancers,"Perform dances. May perform on stage, for broadcasting, or for video recording.",0.0,Green
27-2032,Choreographers,Choreographers,Create new dance routines. Rehearse performance of routines. May direct and stage presentations.,0.17674217026662095,Green
27-2041,Music Directors and Composers,Music Directors and Composers,"Conduct, direct, plan, and lead instrumental or vocal performances by musical artists or groups, such as orchestras, bands, choirs, and glee clubs; or create original works of music.",0.542548368449853,Yellow
27-2042,Musicians and Singers,Musicians and Singers,"Play one or more musical instruments or sing. May perform on stage, for broadcasting, or for sound or video recording.",0.4493512139668353,Yellow
27-3011,Broadcast Announcers and Radio Disc Jockeys,Radio and Television Announcers,"Speak or read from scripted materials, such as news reports or commercial messages, on radio, television, or other communications media. May play and queue music, announce artist or title of performance, identify station, or interview guests.",0.741590691239453,Red
27-3031,Public Relations Specialists,Public Relations Specialists,"Promote or create an intended public image for individuals, groups, or organizations. May write or select material for release to various communications media. May specialize in using social media.",0.9128641646675258,Red
27-3041,Editors,Editors,"Plan, coordinate, revise, or edit written material. May review proposals and drafts for possible publication.",0.824100213624334,Red
27-3042,Technical Writers,Technical Writers,"Write technical materials, such as equipment manuals, appendices, or operating and maintenance instructions. May assist in layout work.",0.8527683079216017,Red
27-3043,Writers and Authors,Writers and Authors,"Originate and prepare written material, such as scripts, stories, advertisements, and other material.",0.7914667827634769,Red
27-3091,Interpreters and Translators,Interpreters and Translators,"Interpret oral or sign language, or translate written text from one language into another.",0.7464033241657417,Red
27-4011,Audio and Video Technicians,Audio and Video Equipment Technicians,"Set up, maintain, and dismantle audio and video equipment, such as microphones, sound speakers, connecting wires and cables, sound and mixing boards, video cameras, video monitors and servers, and related electronic equipment for live or recorded events, such as concerts, meetings, conventions, presentations, podcasts, news conferences, and sporting events.",0.4764129453964215,Yellow
27-4012,Broadcast Technicians,Broadcast Technicians,"Set up, operate, and maintain the electronic equipment used to acquire, edit, and transmit audio and video for radio or television programs. Control and adjust incoming and outgoing broadcast signals to regulate sound volume, signal strength, and signal clarity. Operate satellite, microwave, or other transmitter equipment to broadcast radio or television programs.",0.4899780875379386,Yellow
27-4014,Sound Engineering Technicians,Sound Engineering Technicians,"Assemble and operate equipment to record, synchronize, mix, edit, or reproduce sound, including music, voices, or sound effects, for theater, video, film, television, podcasts, sporting events, and other productions.",0.6065816332748933,Yellow
27-4021,Photographers,Photographers,"Photograph people, landscapes, merchandise, or other subjects. May use lighting equipment to enhance a subject's appearance. May use editing software to produce finished images and prints. Includes commercial and industrial photographers, scientific photographers, and photojournalists.",0.43096322593381714,Yellow
27-4031,"Camera Operators, Television, Video, and Film","Camera Operators, Television, Video, and Motion Picture","Operate television, video, or film camera to record images or scenes for television, video, or film productions.",0.38170344201587675,Yellow
27-4032,Film and Video Editors,Film and Video Editors,"Edit moving images on film, video, or other media. May work with a producer or director to organize images for final production. May edit or synchronize soundtracks with images.",0.7678929255112732,Red
29-1011,Chiropractors,Chiropractors,"Assess, treat, and care for patients by manipulation of spine and musculoskeletal system. May provide spinal adjustment or address sacral or pelvic misalignment.",0.4299139731378176,Yellow
29-1021,"Dentists, General","Dentists, General","Examine, diagnose, and treat diseases, injuries, and malformations of teeth and gums. May treat diseases of nerve, pulp, and other dental tissues affecting oral hygiene and retention of teeth. May fit dental appliances or provide preventive care.",0.4652219490420323,Yellow
29-1022,Oral and Maxillofacial Surgeons,Oral and Maxillofacial Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance.",0.4605944569766772,Yellow
29-1023,Orthodontists,Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance.",0.5688500511700203,Yellow
29-1024,Prosthodontists,Prosthodontists,"Diagnose, treat, rehabilitate, design, and fit prostheses that maintain oral function, health, and appearance for patients with clinical conditions associated with teeth, oral and maxillofacial tissues, or the jaw.",0.457653686985678,Yellow
29-1031,Dietitians and Nutritionists,Dietitians and Nutritionists,"Plan and conduct food service or nutritional programs to assist in the promotion of health and control of disease. May supervise activities of a department providing quantity food services, counsel individuals, or conduct nutritional research.",0.9154771236523264,Red
29-1041,Optometrists,Optometrists,"Diagnose, manage, and treat conditions and diseases of the human eye and visual system. Examine eyes and visual system, diagnose problems or impairments, prescribe corrective lenses, and provide treatment. May prescribe therapeutic drugs to treat specific eye conditions.",0.663577480594713,Red
29-1051,Pharmacists,Pharmacists,"Dispense drugs prescribed by physicians and other health practitioners and provide information to patients about medications and their use. May advise physicians and other health practitioners on the selection, dosage, interactions, and side effects of medications.",0.6136880479713535,Yellow
29-1071,Physician Assistants,Physician Assistants,"Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants.",0.49035613124795996,Yellow
29-1081,Podiatrists,Podiatrists,Diagnose and treat diseases and deformities of the human foot.,0.6174872154274951,Yellow
29-1122,Occupational Therapists,Occupational Therapists,"Assess, plan, and organize rehabilitative programs that help build or restore vocational, homemaking, and daily living skills, as well as general independence, to persons with disabilities or developmental delays. Use therapeutic techniques, adapt the individual's environment, teach skills, and modify specific tasks that present barriers to the individual.",0.5269190391878634,Yellow
29-1123,Physical Therapists,Physical Therapists,"Assess, plan, organize, and participate in rehabilitative programs that improve mobility, relieve pain, increase strength, and improve or correct disabling conditions resulting from disease or injury.",0.38663338390850277,Yellow
29-1124,Radiation Therapists,Radiation Therapists,"Provide radiation therapy to patients as prescribed by a radiation oncologist according to established practices and standards. Duties may include reviewing prescription and diagnosis; acting as liaison with physician and supportive care personnel; preparing equipment, such as immobilization, treatment, and protection devices; and maintaining records, reports, and files. May assist in dosimetry procedures and tumor localization.",0.43006771605418803,Yellow
29-1125,Recreational Therapists,Recreational Therapists,"Plan, direct, or coordinate medically-approved recreation programs for patients in hospitals, nursing homes, or other institutions. Activities include sports, trips, dramatics, social activities, and crafts. May assess a patient condition and recommend appropriate recreational activity.",0.40738485906141875,Yellow
29-1126,Respiratory Therapists,Respiratory Therapists,"Assess, treat, and care for patients with breathing disorders. Assume primary responsibility for all respiratory care modalities, including the supervision of respiratory therapy technicians. Initiate and conduct therapeutic procedures; maintain patient records; and select, assemble, check, and operate equipment.",0.42825937156314686,Yellow
29-1127,Speech-Language Pathologists,Speech-Language Pathologists,"Assess and treat persons with speech, language, voice, and fluency disorders. May select alternative communication systems and teach their use. May perform research related to speech and language problems.",0.8632002982631677,Red
29-1128,Exercise Physiologists,Exercise Physiologists,"Assess, plan, or implement fitness programs that include exercise or physical activities such as those designed to improve cardiorespiratory function, body composition, muscular strength, muscular endurance, or flexibility.",0.4593809255197358,Yellow
29-1131,Veterinarians,Veterinarians,"Diagnose, treat, or research diseases and injuries of animals. Includes veterinarians who conduct research and development, inspect livestock, or care for pets and companion animals.",0.4783736789767746,Yellow
29-1141,Registered Nurses,Registered Nurses,"Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management. Licensing or registration required.",0.5380795554804603,Yellow
29-1151,Nurse Anesthetists,Nurse Anesthetists,"Administer anesthesia, monitor patient's vital signs, and oversee patient recovery from anesthesia. May assist anesthesiologists, surgeons, other physicians, or dentists. Must be registered nurses who have specialized graduate education.",0.5244847361289104,Yellow
29-1161,Nurse Midwives,Nurse Midwives,"Diagnose and coordinate all aspects of the birthing process, either independently or as part of a healthcare team. May provide well-woman gynecological care. Must have specialized, graduate nursing education.",0.5236650625402327,Yellow
29-1171,Nurse Practitioners,Nurse Practitioners,"Diagnose and treat acute, episodic, or chronic illness, independently or as part of a healthcare team. May focus on health promotion and disease prevention. May order, perform, or interpret diagnostic tests such as lab work and x rays. May prescribe medication. Must be registered nurses who have specialized graduate education.",0.5315756976882181,Yellow
29-1181,Audiologists,Audiologists,Assess and treat persons with hearing and related disorders. May fit hearing aids and provide auditory training. May perform research related to hearing problems.,0.6930336769942468,Red
29-2011,Medical and Clinical Laboratory Technologists,Medical and Clinical Laboratory Technologists,"Perform complex medical laboratory tests for diagnosis, treatment, and prevention of disease. May train or supervise staff.",0.5463817258041409,Yellow
29-2012,Medical and Clinical Laboratory Technicians,Medical and Clinical Laboratory Technicians,"Perform routine medical laboratory tests for the diagnosis, treatment, and prevention of disease. May work under the supervision of a medical technologist.",0.4266507964545609,Yellow
29-2031,Cardiovascular Technologists and Technicians,Cardiovascular Technologists and Technicians,"Conduct tests on pulmonary or cardiovascular systems of patients for diagnostic, therapeutic, or research purposes. May conduct or assist in electrocardiograms, cardiac catheterizations, pulmonary functions, lung capacity, and similar tests.",0.46767596343914525,Yellow
29-2032,Diagnostic Medical Sonographers,Diagnostic Medical Sonographers,Produce ultrasonic recordings of internal organs for use by physicians. Includes vascular technologists.,0.42705909605455067,Yellow
29-2033,Nuclear Medicine Technologists,Nuclear Medicine Technologists,"Prepare, administer, and measure radioactive isotopes in therapeutic, diagnostic, and tracer studies using a variety of radioisotope equipment. Prepare stock solutions of radioactive materials and calculate doses to be administered by radiologists. Subject patients to radiation. Execute blood volume, red cell survival, and fat absorption studies following standard laboratory techniques.",0.5018700506069765,Yellow
29-2034,Radiologic Technologists and Technicians,Radiologic Technologists and Technicians,Take x-rays and CAT scans or administer nonradioactive materials into patient's bloodstream for diagnostic or research purposes. Includes radiologic technologists and technicians who specialize in other scanning modalities.,0.40642280785637913,Yellow
29-2035,Magnetic Resonance Imaging Technologists,Magnetic Resonance Imaging Technologists,"Operate Magnetic Resonance Imaging (MRI) scanners. Monitor patient safety and comfort, and view images of area being scanned to ensure quality of pictures. May administer gadolinium contrast dosage intravenously. May interview patient, explain MRI procedures, and position patient on examining table. May enter into the computer data such as patient history, anatomical area to be scanned, orientation specified, and position of entry.",0.4604188372102831,Yellow
29-2051,Dietetic Technicians,Dietetic Technicians,"Assist in the provision of food service and nutritional programs, under the supervision of a dietitian. May plan and produce meals based on established guidelines, teach principles of food and nutrition, or counsel individuals.",0.45413099897750053,Yellow
29-2052,Pharmacy Technicians,Pharmacy Technicians,"Prepare medications under the direction of a pharmacist. May measure, mix, count out, label, and record amounts and dosages of medications according to prescription orders.",0.48132364150578566,Yellow
29-2053,Psychiatric Technicians,Psychiatric Technicians,"Care for individuals with mental or emotional conditions or disabilities, following the instructions of physicians or other health practitioners. Monitor patients' physical and emotional well-being and report to medical staff. May participate in rehabilitation and treatment programs, help with personal hygiene, and administer oral or injectable medications.",0.4197844812304778,Yellow
29-2055,Surgical Technologists,Surgical Technologists,"Assist in operations, under the supervision of surgeons, registered nurses, or other surgical personnel. May help set up operating room, prepare and transport patients for surgery, adjust lights and equipment, pass instruments and other supplies to surgeons and surgeons' assistants, hold retractors, cut sutures, and help count sponges, needles, supplies, and instruments.",0.39178310454531307,Yellow
29-2056,Veterinary Technologists and Technicians,Veterinary Technologists and Technicians,"Perform medical tests in a laboratory environment for use in the treatment and diagnosis of diseases in animals. Prepare vaccines and serums for prevention of diseases. Prepare tissue samples, take blood samples, and execute laboratory tests, such as urinalysis and blood counts. Clean and sterilize instruments and materials and maintain equipment and machines. May assist a veterinarian during surgery.",0.4063236964229285,Yellow
29-2057,Ophthalmic Medical Technicians,Ophthalmic Medical Technicians,"Assist ophthalmologists by performing ophthalmic clinical functions. May administer eye exams, administer eye medications, and instruct the patient in care and use of corrective lenses.",0.5097850207352156,Yellow
29-2061,Licensed Practical and Licensed Vocational Nurses,Licensed Practical and Licensed Vocational Nurses,"Care for ill, injured, or convalescing patients or persons with disabilities in hospitals, nursing homes, clinics, private homes, group homes, and similar institutions. May work under the supervision of a registered nurse. Licensing required.",0.375265788936617,Yellow
29-2081,"Opticians, Dispensing","Opticians, Dispensing","Design, measure, fit, and adapt lenses and frames for client according to written optical prescription or specification. Assist client with inserting, removing, and caring for contact lenses. Assist client with selecting frames. Measure customer for size of eyeglasses and coordinate frames with facial and eye measurements and optical prescription. Prepare work order for optical laboratory containing instructions for grinding and mounting lenses in frames. Verify exactness of finished lens spectacles. Adjust frame and lens position to fit client. May shape or reshape frames. Includes contact lens opticians.",0.5695504396067801,Yellow
29-2091,Orthotists and Prosthetists,Orthotists and Prosthetists,"Design, measure, fit, and adapt orthopedic braces, appliances or prostheses, such as limbs or facial parts for patients with disabling conditions.",0.4880054779927539,Yellow
29-2092,Hearing Aid Specialists,Hearing Aid Specialists,"Select and fit hearing aids for customers. Administer and interpret tests of hearing. Assess hearing instrument efficacy. Take ear impressions and prepare, design, and modify ear molds.",0.6761064536027442,Red
29-2099,"Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",All health technologists and technicians not listed separately.,0.5643012020743182,Yellow
