soc_code,task_id,task_description,task_importance,importance_norm,automation_score,automation_level
21-1022,23910,Educate clients about end-of-life symptoms and options to assist them in making informed decisions.,4.59,0.9137931034482757,0.9137931034482757,High
21-1022,258,Collaborate with other professionals to evaluate patients' medical or physical condition and to assess client needs.,4.58,0.9080459770114941,0.908045977011494,High
21-1022,260,"Refer patient, client, or family to community resources to assist in recovery from mental or physical illness and to provide access to services such as financial assistance, legal aid, housing, job placement or education.",4.5,0.8620689655172413,0.8620689655172413,High
21-1022,265,"Utilize consultation data and social work experience to plan and coordinate client or patient care and rehabilitation, following through to ensure service efficacy.",4.33,0.7643678160919539,0.764367816091954,High
21-1022,267,"Monitor, evaluate, and record client progress according to measurable goals described in treatment and care plan.",4.32,0.7586206896551725,0.7586206896551726,High
21-1022,264,Identify environmental impediments to client or patient progress through interviews and review of patient records.,4.22,0.7011494252873561,0.701149425287356,High
21-1022,261,"Counsel clients and patients in individual and group sessions to help them overcome dependencies, recover from illness, and adjust to life.",4.17,0.6724137931034482,0.6724137931034482,High
21-1022,15227,Plan discharge from care facility to home or other care facility.,4.08,0.6206896551724138,0.6206896551724137,Moderate
21-1022,262,"Organize support groups or counsel family members to assist them in understanding, dealing with, and supporting the client or patient.",4.08,0.6206896551724138,0.6206896551724137,Moderate
21-1022,266,Modify treatment plans to comply with changes in clients' status.,4.08,0.6206896551724138,0.6206896551724137,Moderate
21-1022,268,Supervise and direct other workers providing services to clients or patients.,3.68,0.39080459770114945,0.39080459770114945,Moderate
21-1022,272,"Plan and conduct programs to combat social problems, prevent substance abuse, or improve community health and counseling services.",3.4,0.22988505747126428,0.22988505747126423,Low
21-1022,269,Develop or advise on social policy and assist in community development.,3.14,0.0804597701149426,0.08045977011494261,Low
21-1022,271,Conduct social research to advance knowledge in the social work field.,3.0,0.0,0.0,Low
21-1023,273,"Counsel clients in individual or group sessions to assist them in dealing with substance abuse, mental or physical illness, poverty, unemployment, or physical abuse.",4.53,1.0,1.0,High
21-1023,275,"Collaborate with counselors, physicians, or nurses to plan or coordinate treatment, drawing on social work experience and patient needs.",4.39,0.8390804597701144,0.8390804597701146,High
21-1023,276,"Monitor, evaluate, and record client progress with respect to treatment goals.",4.38,0.8275862068965514,0.8275862068965514,High
21-1023,18487,"Interview clients, review records, conduct assessments, or confer with other professionals to evaluate the mental or physical condition of clients or patients.",4.28,0.7126436781609196,0.7126436781609197,High
21-1023,281,Supervise or direct other workers who provide services to clients or patients.,4.19,0.6091954022988508,0.6091954022988507,Moderate
21-1023,279,Modify treatment plans according to changes in client status.,4.15,0.5632183908045979,0.563218390804598,Moderate
21-1023,18489,"Assist clients in adhering to treatment plans, such as setting up appointments, arranging for transportation to appointments, or providing support.",3.99,0.37931034482758624,0.3793103448275863,Moderate
21-1023,18488,"Educate clients or community members about mental or physical illness, abuse, medication, or available community resources.",3.97,0.3563218390804598,0.3563218390804596,Moderate
21-1023,278,"Counsel or aid family members to assist them in understanding, dealing with, or supporting the client or patient.",3.94,0.32183908045976983,0.3218390804597698,Low
21-1023,18490,"Increase social work knowledge by reviewing current literature, conducting social research, or attending seminars, training workshops, or classes.",3.73,0.08045977011494233,0.08045977011494239,Low
21-1023,277,"Refer patient, client, or family to community resources for housing or treatment to assist in recovery from mental or physical illness, following through to ensure service efficacy.",3.66,0.0,0.0,Low
21-1091,20236,"Prepare and distribute health education materials, such as reports, bulletins, and visual aids, to address smoking, vaccines, and other public health concerns.",4.12,1.0,1.0,High
21-1091,9218,Develop and maintain cooperative working relationships with agencies and organizations interested in public health care.,4.1,0.9729729729729724,0.9729729729729725,High
21-1091,9222,"Maintain databases, mailing lists, telephone networks, and other information to facilitate the functioning of health education programs.",4.07,0.9324324324324327,0.9324324324324327,High
21-1091,9216,"Document activities and record information, such as the numbers of applications completed, presentations conducted, and persons assisted.",4.04,0.8918918918918918,0.8918918918918917,High
21-1091,9217,"Develop and present health education and promotion programs, such as training workshops, conferences, and school or community presentations.",3.99,0.8243243243243246,0.8243243243243247,High
21-1091,9221,Collaborate with health specialists and civic groups to determine community health needs and the availability of services and to develop goals for meeting needs.,3.85,0.6351351351351352,0.635135135135135,Moderate
21-1091,9229,"Develop, conduct, or coordinate health needs assessments and other public health surveys.",3.84,0.6216216216216214,0.6216216216216215,Moderate
21-1091,9223,"Supervise professional and technical staff in implementing health programs, objectives, and goals.",3.84,0.6216216216216214,0.6216216216216215,Moderate
21-1091,9220,Develop operational plans and policies necessary to achieve health education objectives and services.,3.81,0.5810810810810811,0.5810810810810811,Moderate
21-1091,9225,"Provide program information to the public by preparing and presenting press releases, conducting media campaigns, or maintaining program-related Web sites.",3.78,0.5405405405405402,0.5405405405405403,Moderate
21-1091,9228,Develop and maintain health education libraries to provide resources for staff and community agencies.,3.71,0.4459459459459459,0.4459459459459457,Moderate
21-1091,9224,Design and conduct evaluations and diagnostic studies to assess the quality and performance of health education programs.,3.64,0.35135135135135154,0.3513513513513516,Moderate
21-1091,9226,"Develop, prepare, and coordinate grant applications and grant-related activities to obtain funding for health education programs and related work.",3.62,0.3243243243243245,0.3243243243243247,Low
21-1091,9227,Provide guidance to agencies and organizations on assessment of health education needs and on development and delivery of health education programs.,3.46,0.10810810810810817,0.10810810810810807,Low
21-1091,20237,Design and administer training programs for new employees and continuing education for existing employees.,3.38,0.0,0.0,Low
21-1092,1614,Prepare and maintain case folder for each assigned inmate or offender.,4.46,1.0,1.0,High
21-1092,1618,"Gather information about offenders' backgrounds by talking to offenders, their families and friends, and other people who have relevant information.",4.41,0.9537037037037038,0.9537037037037038,High
21-1092,1625,Interview probationers and parolees regularly to evaluate their progress in accomplishing goals and maintaining the terms specified in their probation contracts and rehabilitation plans.,4.41,0.9537037037037038,0.9537037037037038,High
21-1092,1617,Discuss with offenders how such issues as drug and alcohol abuse and anger management problems might have played roles in their criminal behavior.,4.4,0.9444444444444449,0.944444444444445,High
21-1092,20056,"Supervise people on community-based sentences, such as electronically monitored home detention, and provide field supervision of probationers by conducting curfew checks or visits to home, work, or school.",4.39,0.9351851851851849,0.9351851851851848,High
21-1092,1628,"Investigate alleged parole violations, using interviews, surveillance, and search and seizure.",4.37,0.9166666666666669,0.9166666666666669,High
21-1092,1624,Recommend remedial action or initiate court action in response to noncompliance with terms of probation or parole.,4.34,0.8888888888888888,0.8888888888888888,High
21-1092,1621,"Arrange for medical, mental health, or substance abuse treatment services according to individual needs or court orders.",4.34,0.8888888888888888,0.8888888888888888,High
21-1092,1620,"Develop liaisons and networks with other parole officers, community agencies, correctional institutions, psychiatric facilities, and aftercare agencies to plan for helping offenders with life adjustments.",4.34,0.8888888888888888,0.8888888888888888,High
21-1092,20055,"Administer drug and alcohol tests, including random drug screens of offenders, to verify compliance with substance abuse treatment programs.",4.33,0.8796296296296298,0.8796296296296298,High
21-1092,1616,"Inform offenders or inmates of requirements of conditional release, such as office visits, restitution payments, or educational and employment stipulations.",4.31,0.8611111111111108,0.8611111111111107,High
21-1092,1631,Participate in decisions about whether cases should go before courts and which court should hear them.,4.24,0.7962962962962965,0.7962962962962964,High
21-1092,1615,Write reports describing offenders' progress.,4.18,0.7407407407407405,0.7407407407407405,High
21-1092,1629,Conduct prehearing and presentencing investigations and testify in court regarding offenders' backgrounds and recommended sentences and sentencing conditions.,4.18,0.7407407407407405,0.7407407407407405,High
21-1092,1623,"Arrange for postrelease services, such as employment, housing, counseling, education, and social activities.",4.12,0.6851851851851853,0.6851851851851852,High
21-1092,1622,"Provide offenders or inmates with assistance in matters concerning detainers, sentences in other jurisdictions, writs, and applications for social assistance.",3.55,0.15740740740740733,0.15740740740740738,Low
21-1092,1633,"Develop and prepare packets containing information about social service agencies, assistance organizations, and programs that might be useful for inmates or offenders.",3.38,0.0,0.0,Low
21-1093,21179,Assess clients' cognitive abilities and physical and emotional needs to determine appropriate interventions.,4.37,1.0,1.0,High
21-1093,21180,Develop and implement behavioral management and care plans for clients.,4.14,0.762886597938144,0.762886597938144,High
21-1093,3754,Keep records or prepare reports for owner or management concerning visits with clients.,3.98,0.5979381443298969,0.5979381443298969,Moderate
21-1093,3755,"Visit individuals in homes or attend group meetings to provide information on agency services, requirements, or procedures.",3.96,0.5773195876288659,0.5773195876288659,Moderate
21-1093,3757,Submit reports and review reports or problems with superior.,3.94,0.556701030927835,0.5567010309278349,Moderate
21-1093,3759,"Interview individuals or family members to compile information on social, educational, criminal, institutional, or drug history.",3.75,0.36082474226804123,0.3608247422680413,Moderate
21-1093,3753,Provide information or refer individuals to public or private agencies or community services for assistance.,3.64,0.2474226804123713,0.24742268041237134,Low
21-1093,3756,"Advise clients regarding food stamps, child care, food, money management, sanitation, or housekeeping.",3.4,0.0,0.0,Low
21-1094,19031,"Maintain updated client records with plans, notes, appropriate forms, or related information.",4.44,1.0,1.0,High
21-1094,19017,"Advise clients or community groups on issues related to improving general health, such as diet or exercise.",3.99,0.5588235294117647,0.5588235294117647,Moderate
21-1094,19028,"Identify or contact members of high-risk or otherwise targeted groups, such as members of minority populations, low-income populations, or pregnant women.",3.81,0.38235294117647056,0.38235294117647056,Moderate
21-1094,19026,"Contact clients in person, by phone, or in writing to ensure they have completed required or recommended actions.",3.75,0.3235294117647058,0.3235294117647058,Low
21-1094,19027,"Distribute flyers, brochures, or other informational or educational documents to inform members of a targeted community.",3.75,0.3235294117647058,0.3235294117647058,Low
21-1094,19036,Refer community members to needed health services.,3.72,0.29411764705882365,0.29411764705882365,Low
21-1094,19024,Attend community meetings or health fairs to understand community issues or build relationships with community members.,3.42,0.0,0.0,Low
21-2011,10934,Pray and promote spirituality.,4.77,1.0,1.0,High
21-2011,10936,Prepare and deliver sermons or other talks.,4.72,0.9600000000000001,0.9600000000000001,High
21-2011,10935,"Read from sacred texts, such as the Bible, Torah, or Koran.",4.69,0.9360000000000006,0.9360000000000006,High
21-2011,10937,Organize and lead regular religious services.,4.6,0.864,0.864,High
21-2011,10939,Instruct people who seek conversion to a particular faith.,4.49,0.7760000000000005,0.7760000000000004,High
21-2011,10938,"Share information about religious issues by writing articles, giving speeches, or teaching.",4.39,0.696,0.6959999999999998,High
21-2011,10940,"Counsel individuals or groups concerning their spiritual, emotional, or personal needs.",4.38,0.6880000000000002,0.6880000000000002,High
21-2011,10943,Administer religious rites or ordinances.,4.36,0.6720000000000005,0.6720000000000006,High
21-2011,10950,Prepare people for participation in religious ceremonies.,4.35,0.6639999999999999,0.664,High
21-2011,10941,"Visit people in homes, hospitals, or prisons to provide them with comfort and support.",4.3,0.6240000000000001,0.6240000000000001,Moderate
21-2011,10942,"Train leaders of church, community, or youth groups.",4.27,0.5999999999999999,0.6,Moderate
21-2011,20748,Plan or lead religious education programs.,4.21,0.5520000000000002,0.5520000000000002,Moderate
21-2011,10944,"Study and interpret religious laws, doctrines, or traditions.",4.2,0.5440000000000004,0.5440000000000005,Moderate
21-2011,10947,Respond to requests for assistance during emergencies or crises.,4.07,0.4400000000000004,0.44000000000000045,Moderate
21-2011,10945,"Conduct special ceremonies, such as weddings, funerals, or confirmations.",4.03,0.4080000000000003,0.40800000000000036,Moderate
21-2011,10948,Devise ways in which congregational membership can be expanded.,3.85,0.2640000000000001,0.26400000000000023,Low
21-2011,10949,Collaborate with committees or individuals to address financial or administrative issues pertaining to congregations.,3.76,0.1919999999999999,0.192,Low
21-2011,10952,"Refer people to community support services, psychologists, or doctors.",3.57,0.03999999999999987,0.039999999999999716,Low
21-2011,20749,"Organize or engage in interfaith, community, civic, educational, or recreational activities sponsored by or related to religious programs.",3.56,0.03200000000000004,0.03200000000000004,Low
21-2011,10951,"Perform administrative duties, such as overseeing building management, ordering supplies, contracting for services or repairs, or supervising the work of staff members or volunteers.",3.55,0.02399999999999985,0.0239999999999997,Low
21-2011,10953,Participate in fundraising activities to support congregational activities or facilities.,3.52,0.0,0.0,Low
21-2021,12977,Develop or direct study courses or religious education programs within congregations.,4.22,1.0,1.0,High
21-2021,12975,Identify and recruit potential volunteer workers.,4.16,0.946902654867257,0.9469026548672571,High
21-2021,12978,Select appropriate curricula or class structures for educational programs.,4.13,0.920353982300885,0.9203539823008849,High
21-2021,12983,"Schedule special events, such as camps, conferences, meetings, seminars, or retreats.",3.97,0.778761061946903,0.778761061946903,High
21-2021,12980,"Counsel individuals regarding interpersonal, health, financial, or religious problems.",3.97,0.778761061946903,0.778761061946903,High
21-2021,12982,Collaborate with other ministry members to establish goals and objectives for religious education programs or to develop ways to encourage program participation.,3.95,0.7610619469026553,0.761061946902655,High
21-2021,12976,Train and supervise religious education instructional staff.,3.88,0.6991150442477877,0.6991150442477875,High
21-2021,12979,"Implement program plans by ordering needed materials, scheduling speakers, reserving space, or handling other administrative details.",3.86,0.6814159292035399,0.6814159292035399,High
21-2021,12981,Analyze member participation or changes in congregational emphasis to determine needs for religious education.,3.71,0.5486725663716816,0.5486725663716817,Moderate
21-2021,12986,Analyze revenue and program cost data to determine budget priorities.,3.69,0.5309734513274338,0.5309734513274338,Moderate
21-2021,12987,"Attend workshops, seminars, or conferences to obtain program ideas, information, or resources.",3.67,0.513274336283186,0.513274336283186,Moderate
21-2021,12991,Visit congregational members' homes or arrange for pastoral visits to provide information or resources regarding religious education programs.,3.62,0.46902654867256666,0.46902654867256666,Moderate
21-2021,12985,"Publicize programs through sources, such as newsletters, bulletins, or mailings.",3.57,0.42477876106194695,0.4247787610619469,Moderate
21-2021,12984,"Confer with clergy members, congregational officials, or congregational organizations to encourage support of or participation in religious education activities.",3.42,0.29203539823008856,0.29203539823008845,Low
21-2021,20750,Plan fundraising activities for the church.,3.19,0.08849557522123902,0.08849557522123908,Low
21-2021,12988,"Locate and distribute resources, such as periodicals or curricula, to enhance the effectiveness of educational programs.",3.14,0.04424778761061971,0.04424778761061976,Low
21-2021,12989,"Participate in denominational activities aimed at goals, such as promoting interfaith understanding or providing aid to new or small congregations.",3.09,0.0,0.0,Low
23-1011,3774,"Interpret laws, rulings and regulations for individuals and businesses.",4.54,1.0,1.0,High
23-1011,3775,"Analyze the probable outcomes of cases, using knowledge of legal precedents.",4.41,0.8571428571428573,0.8571428571428572,High
23-1011,3778,Gather evidence to formulate defense or to initiate legal actions by such means as interviewing clients and witnesses to ascertain the facts of a case.,4.4,0.8461538461538465,0.8461538461538465,High
23-1011,3779,Represent clients in court or before government agencies.,4.34,0.7802197802197801,0.78021978021978,High
23-1011,3777,Evaluate findings and develop strategies and arguments in preparation for presentation of cases.,4.31,0.7472527472527468,0.7472527472527468,High
23-1011,3773,"Advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",4.27,0.7032967032967028,0.7032967032967028,High
23-1011,3780,Examine legal data to determine advisability of defending or prosecuting lawsuit.,4.21,0.6373626373626373,0.6373626373626372,Moderate
23-1011,20877,"Prepare, draft, and review legal documents, such as wills, deeds, patent applications, mortgages, leases, and contracts.",4.18,0.6043956043956041,0.604395604395604,Moderate
23-1011,3783,"Study Constitution, statutes, decisions, regulations, and ordinances of quasi-judicial bodies to determine ramifications for cases.",4.04,0.4505494505494506,0.4505494505494507,Moderate
23-1011,3786,Negotiate settlements of civil disputes.,4.02,0.42857142857142816,0.42857142857142805,Moderate
23-1011,3789,Supervise legal assistants.,4.01,0.4175824175824174,0.4175824175824175,Moderate
23-1011,23992,Negotiate contractual agreements.,3.94,0.34065934065934067,0.3406593406593407,Moderate
23-1011,3787,Confer with colleagues with specialties in appropriate areas of legal issue to establish and verify bases for legal proceedings.,3.84,0.2307692307692307,0.23076923076923053,Low
23-1011,3788,Search for and examine public and other legal records to write opinions or establish ownership.,3.7,0.07692307692307722,0.07692307692307722,Low
23-1011,3790,Perform administrative and management functions related to the practice of law.,3.63,0.0,0.0,Low
23-1012,19050,"Prepare briefs, legal memoranda, or statements of issues involved in cases, including appropriate suggestions or recommendations.",4.85,1.0,1.0,High
23-1012,19051,"Research laws, court decisions, documents, opinions, briefs, or other information related to cases before the court.",4.84,0.9937500000000001,0.9937500000000001,High
23-1012,19047,"Draft or proofread judicial opinions, decisions, or citations.",4.81,0.975,0.9750000000000001,High
23-1012,19046,"Confer with judges concerning legal questions, construction of documents, or granting of orders.",4.64,0.86875,0.8687499999999998,High
23-1012,19052,"Review complaints, petitions, motions, or pleadings that have been filed to determine issues involved or basis for relief.",4.64,0.86875,0.8687499999999998,High
23-1012,19048,Keep abreast of changes in the law and inform judges when cases are affected by such changes.,4.13,0.55,0.55,Moderate
23-1012,19044,Attend court sessions to hear oral arguments or record necessary case information.,3.98,0.4562500000000001,0.45624999999999993,Moderate
23-1012,19053,Review dockets of pending litigation to ensure adequate progress.,3.51,0.1624999999999999,0.1624999999999999,Low
23-1012,19045,Communicate with counsel regarding case management or procedural requirements.,3.39,0.08750000000000009,0.0875000000000001,Low
23-1012,19061,Respond to questions from judicial officers or court staff on general legal issues.,3.25,0.0,0.0,Low
23-1021,7627,"Determine existence and amount of liability according to current laws, administrative and judicial precedents, and available evidence.",4.68,1.0,1.0,High
23-1021,7623,Monitor and direct the activities of trials and hearings to ensure that they are conducted fairly and that courts administer justice while safeguarding the legal rights of all involved parties.,4.67,0.9892473118279572,0.9892473118279572,High
23-1021,7617,Prepare written opinions and decisions.,4.65,0.9677419354838717,0.9677419354838716,High
23-1021,7624,Authorize payment of valid claims and determine method of payment.,4.59,0.903225806451613,0.903225806451613,High
23-1021,7625,"Conduct hearings to review and decide claims regarding issues, such as social program eligibility, environmental protection, or enforcement of health and safety regulations.",4.59,0.903225806451613,0.903225806451613,High
23-1021,7619,"Research and analyze laws, regulations, policies, and precedent decisions to prepare for hearings and to determine conclusions.",4.52,0.8279569892473116,0.8279569892473116,High
23-1021,7618,"Review and evaluate data on documents, such as claim applications, birth or death certificates, or physician or employer records.",4.37,0.666666666666667,0.6666666666666669,High
23-1021,7621,"Recommend the acceptance or rejection of claims or compromise settlements according to laws, regulations, policies, and precedent decisions.",4.34,0.6344086021505376,0.6344086021505376,Moderate
23-1021,7626,"Rule on exceptions, motions, and admissibility of evidence.",4.3,0.5913978494623656,0.5913978494623655,Moderate
23-1021,7622,Explain to claimants how they can appeal rulings that go against them.,4.22,0.5053763440860214,0.5053763440860215,Moderate
23-1021,7620,Confer with individuals or organizations involved in cases to obtain relevant information.,3.95,0.21505376344086047,0.2150537634408605,Low
23-1021,7628,Issue subpoenas and administer oaths in preparation for formal hearings.,3.75,0.0,0.0,Low
23-1022,12999,Prepare written opinions or decisions regarding cases.,4.84,1.0,1.0,High
23-1022,20238,"Apply relevant laws, regulations, policies, or precedents to reach conclusions.",4.63,0.8627450980392157,0.8627450980392157,High
23-1022,20239,Conduct hearings to obtain information or evidence relative to disposition of claims.,4.61,0.8496732026143794,0.8496732026143794,High
23-1022,20240,"Determine extent of liability according to evidence, laws, or administrative or judicial precedents.",4.6,0.8431372549019607,0.8431372549019607,High
23-1022,13001,"Rule on exceptions, motions, or admissibility of evidence.",4.53,0.797385620915033,0.797385620915033,High
23-1022,12993,"Confer with disputants to clarify issues, identify underlying concerns, and develop an understanding of their respective needs and interests.",4.37,0.69281045751634,0.69281045751634,High
23-1022,12994,"Use mediation techniques to facilitate communication between disputants, to further parties' understanding of different perspectives, and to guide parties toward mutual agreement.",4.22,0.5947712418300652,0.5947712418300651,Moderate
23-1022,13008,"Conduct initial meetings with disputants to outline the arbitration process, settle procedural matters, such as fees, or determine details, such as witness numbers or time requirements.",4.0,0.45098039215686275,0.4509803921568628,Moderate
23-1022,13003,"Evaluate information from documents, such as claim applications, birth or death certificates, or physician or employer records.",3.88,0.3725490196078431,0.3725490196078432,Moderate
23-1022,13005,"Research laws, regulations, policies, or precedent decisions to prepare for hearings.",3.81,0.3267973856209151,0.32679738562091526,Low
23-1022,13010,Issue subpoenas or administer oaths to prepare for formal hearings.,3.78,0.30718954248366,0.30718954248366,Low
23-1022,12995,Set up appointments for parties to meet for mediation.,3.76,0.2941176470588234,0.29411764705882343,Low
23-1022,13007,Recommend acceptance or rejection of compromise settlement offers.,3.62,0.20261437908496738,0.20261437908496754,Low
23-1022,12996,Prepare settlement agreements for disputants to sign.,3.36,0.032679738562091394,0.032679738562091394,Low
23-1022,13011,Authorize payment of valid claims.,3.31,0.0,0.0,Low
23-1023,5644,"Sentence defendants in criminal cases, on conviction by jury, according to applicable government statutes.",4.78,1.0,1.0,High
23-1023,5649,Monitor proceedings to ensure that all applicable rules and procedures are followed.,4.71,0.9333333333333331,0.933333333333333,High
23-1023,5643,"Instruct juries on applicable laws, direct juries to deduce the facts from the evidence presented, and hear their verdicts.",4.65,0.8761904761904763,0.8761904761904762,High
23-1023,5653,Write decisions on cases.,4.61,0.8380952380952382,0.8380952380952383,High
23-1023,5647,Read documents on pleadings and motions to ascertain facts and issues.,4.6,0.8285714285714281,0.8285714285714281,High
23-1023,5645,Rule on admissibility of evidence and methods of conducting testimony.,4.59,0.8190476190476187,0.8190476190476188,High
23-1023,5646,Preside over hearings and listen to allegations made by plaintiffs to determine whether the evidence supports the charges.,4.59,0.8190476190476187,0.8190476190476188,High
23-1023,5654,Award compensation for damages to litigants in civil cases in relation to findings by juries or by the court.,4.56,0.7904761904761899,0.7904761904761899,High
23-1023,5650,"Advise attorneys, juries, litigants, and court personnel regarding conduct, issues, and proceedings.",4.55,0.7809523809523806,0.7809523809523805,High
23-1023,5651,Research legal issues and write opinions on the issues.,4.52,0.7523809523809518,0.7523809523809518,High
23-1023,5648,Interpret and enforce rules of procedure or establish new rules in situations where there are no procedures already established by law.,4.41,0.6476190476190476,0.6476190476190475,Moderate
23-1023,21182,Issue arrest warrants.,4.32,0.561904761904762,0.5619047619047621,Moderate
23-1023,5655,Settle disputes between opposing attorneys.,4.16,0.40952380952380957,0.4095238095238096,Moderate
23-1023,5657,Impose restrictions upon parties in civil cases until trials can be held.,3.82,0.08571428571428556,0.08571428571428562,Low
23-1023,5656,"Supervise other judges, court officers, and the court's administrative staff.",3.73,0.0,0.0,Low
23-2011,18491,"Prepare affidavits or other documents, such as legal correspondence, and organize and maintain documents in paper or electronic filing system.",4.38,1.0,1.0,High
23-2011,23994,"Prepare, edit, or review legal documents, including legislation, briefs, pleadings, appeals, wills, contracts, and real estate closing statements.",4.32,0.877551020408164,0.877551020408164,High
23-2011,21062,"Investigate facts and law of cases and search pertinent sources, such as public records and internet sources, to determine causes of action and to prepare cases.",4.06,0.3469387755102032,0.34693877551020313,Moderate
23-2011,18492,Prepare for trial by performing tasks such as organizing exhibits.,3.97,0.1632653061224492,0.16326530612244916,Low
23-2011,18493,Meet with clients and other professionals to discuss details of cases.,3.93,0.0816326530612246,0.08163265306122469,Low
23-2011,1636,"Gather and analyze research data, such as statutes, decisions, and legal articles, codes, and documents.",3.89,0.0,0.0,Low
23-2093,9231,"Examine documentation such as mortgages, liens, judgments, easements, plat books, maps, contracts, and agreements to verify factors such as properties' legal descriptions, ownership, or restrictions.",4.75,1.0,1.0,High
23-2093,9234,"Examine individual titles to determine if restrictions, such as delinquent taxes, will affect titles and limit property use.",4.59,0.7894736842105261,0.7894736842105261,High
23-2093,9235,Prepare reports describing any title encumbrances encountered during searching activities and outlining actions needed to clear titles.,4.56,0.7499999999999994,0.7499999999999996,High
23-2093,9233,"Copy or summarize recorded documents, such as mortgages, trust deeds, and contracts, that affect property titles.",4.51,0.6842105263157892,0.6842105263157893,High
23-2093,9236,"Verify accuracy and completeness of land-related documents accepted for registration, preparing rejection notices when documents are not acceptable.",4.46,0.6184210526315788,0.6184210526315786,Moderate
23-2093,9230,Prepare lists of all legal instruments applying to a specific piece of land and the buildings on it.,4.4,0.5394736842105267,0.5394736842105265,Moderate
23-2093,9232,Read search requests to ascertain types of title evidence required and to obtain descriptions of properties and names of involved parties.,4.21,0.28947368421052605,0.28947368421052616,Low
23-2093,9240,"Obtain maps or drawings delineating properties from company title plants, county surveyors, or assessors' offices.",4.2,0.27631578947368424,0.2763157894736844,Low
23-2093,9237,"Confer with realtors, lending institution personnel, buyers, sellers, contractors, surveyors, and courthouse personnel to exchange title-related information or to resolve problems.",4.17,0.23684210526315758,0.23684210526315758,Low
23-2093,9238,Enter into record-keeping systems appropriate data needed to create new title records or to update existing ones.,4.02,0.03947368421052549,0.03947368421052549,Low
23-2093,9243,Retrieve and examine real estate closing files for accuracy and to ensure that information included is recorded and executed according to regulations.,3.99,0.0,0.0,Low
25-1011,5662,"Prepare and deliver lectures to undergraduate or graduate students on topics such as financial accounting, principles of marketing, and operations management.",4.7,1.0,1.0,High
25-1011,5663,"Evaluate and grade students' class work, assignments, and papers.",4.59,0.9316770186335401,0.9316770186335402,High
25-1011,5667,"Initiate, facilitate, and moderate classroom discussions.",4.57,0.9192546583850932,0.9192546583850932,High
25-1011,5665,"Prepare course materials, such as syllabi, homework assignments, and handouts.",4.54,0.9006211180124223,0.9006211180124222,High
25-1011,5670,"Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional organizations and conferences.",4.48,0.8633540372670809,0.8633540372670808,High
25-1011,5668,"Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.",4.43,0.8322981366459625,0.8322981366459626,High
25-1011,5666,"Maintain student attendance records, grades, and other required records.",4.4,0.813664596273292,0.813664596273292,High
25-1011,5681,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",4.37,0.7950310559006211,0.7950310559006211,High
25-1011,5664,"Compile, administer, and grade examinations, or assign this work to others.",4.35,0.7826086956521736,0.7826086956521736,High
25-1011,5669,Maintain regularly scheduled office hours to advise and assist students.,4.16,0.6645962732919255,0.6645962732919255,High
25-1011,5673,Collaborate with colleagues to address teaching and research issues.,4.05,0.5962732919254657,0.5962732919254656,Moderate
25-1011,5671,Advise students on academic and vocational curricula and career issues.,4.01,0.5714285714285713,0.5714285714285713,Moderate
25-1011,20058,Develop and maintain course Web sites.,3.98,0.5527950310559006,0.5527950310559007,Moderate
25-1011,5674,"Collaborate with members of the business community to improve programs, to develop new programs, and to provide student access to learning opportunities, such as internships.",3.93,0.5217391304347827,0.5217391304347827,Moderate
25-1011,5676,"Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.",3.83,0.4596273291925466,0.4596273291925465,Moderate
25-1011,5672,"Select and obtain materials and supplies, such as textbooks.",3.8,0.44099378881987567,0.4409937888198757,Moderate
25-1011,5678,Compile bibliographies of specialized materials for outside reading assignments.,3.56,0.29192546583850937,0.29192546583850937,Low
25-1011,5677,Participate in campus and community events.,3.13,0.024844720496894426,0.024844720496894394,Low
25-1011,21108,Mentor new faculty.,3.09,0.0,0.0,Low
25-1021,5688,"Prepare course materials, such as syllabi, homework assignments, and handouts.",4.59,1.0,1.0,High
25-1021,5689,"Compile, administer, and grade examinations or assign this work to others.",4.58,0.9931972789115647,0.993197278911565,High
25-1021,5687,"Prepare and deliver lectures to undergraduate or graduate students on topics such as programming, data structures, and software design.",4.49,0.9319727891156465,0.9319727891156466,High
25-1021,5685,"Evaluate and grade students' class work, laboratory work, assignments, and papers.",4.39,0.8639455782312924,0.8639455782312923,High
25-1021,5686,"Maintain student attendance records, grades, and other required records.",4.21,0.7414965986394558,0.7414965986394559,High
25-1021,5690,"Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.",4.16,0.707482993197279,0.707482993197279,High
25-1021,5692,"Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.",4.15,0.7006802721088439,0.7006802721088438,High
25-1021,5694,Maintain regularly scheduled office hours to advise and assist students.,4.07,0.6462585034013608,0.6462585034013607,Moderate
25-1021,5696,Advise students on academic and vocational curricula and on career issues.,4.04,0.6258503401360545,0.6258503401360546,Moderate
25-1021,5691,"Initiate, facilitate, and moderate classroom discussions.",3.94,0.5578231292517006,0.5578231292517005,Moderate
25-1021,21109,Develop and maintain Web sites for online courses.,3.93,0.5510204081632655,0.5510204081632656,Moderate
